address,area,desc,floor,name,price,room,toward,unit,year
阳光悦湖公馆滨湖新城-吴江梅石路与双板桥路交界处,94.1㎡,",满五,优质教育,,距4号线流虹路站约980米,",高层（共25层）,近地铁口 阳光悦湖 满五省税 简欧豪装 品牌装修,248万,3室2厅,南北向,26355元/㎡,2010年建
华辰嘉园元和-广济北路(阳澄湖西路与广济路延伸段交界处),97.8㎡,",满二,带车位,,距4号线孙武纪念园站约791米,",中层（共15层）,法式建筑 好楼层 南北通透 新中式风格 低于市场价10万急售,205万,3室2厅,南北向,20961元/㎡,2008年建
二郎巷双塔街道-十全街(葑门桥向西100米),47.86㎡,",优质教育,",中层（共5层）,"如您所见 振华你懂得,看房下班后",150万,2室1厅,南向,31341元/㎡,1998年建
天鸿尹山湖韵佳苑郭巷-经济开发区郭新东路和尹山湖东路交接处(御湖湾,86㎡,",距2号线郭苑路站约1072米,",高层（共31层）,如您所见 尹山湖韵佳苑 2室2厅 86平,276万,2室2厅,南向,32093元/㎡,2016年建
康桥溪岸元和-御窑路与安元路交汇处,81.41㎡,",满二,优质教育,交通便利,随时看房,,距4号线姚祥站约1065米,",中层（共31层）,精装小三房 满二 楼层好 采光足 周边配套齐全,185万,3室1厅,南向,22724元/㎡,2014年建
丽湾域别墅滨湖新城-笠泽路和苏州河路交界处,151㎡,",满五,,距4号线顾家荡站约940米,",丽湾域 叠加别墅 四室两厅三卫 送车位 全天采光满两年在,450万,29801元/㎡
招商小石城别墅越溪-小石湖路6号(东小石桥附近),280.1㎡,,招商云中墅挑高客厅全湖景豪装自住保养好品牌家具家电全留诚售,630万,南向,22492元/㎡
欧风华庭滨湖新城-江兴西路与梅石路交界处西南角,120㎡,",满五,优质教育,,距4号线江兴西路站约713米,",中层（共6层）,可靠房东诚心出售欧风华庭三室两卫 南北通透拎包入住 在送车,240万,3室2厅,南北向,20000元/㎡,2009年建
新毛家花园枫桥-华山路奇瑞汽车后面,62.2㎡,",满五,优质教育,",高层（共5层）,新出毛家北区自住小户 房东换房急售 小区中间位置 不靠路,158.5万,2室1厅,南北向,25482元/㎡,2019年建
解放新村吴门桥街道-解放东路(解放东路与盘胥路交汇处),65㎡,",满二,",低层（共6层）,新上 解放新村 精装 两房南 厨卫北 全明户型 低楼层 诚售,126万,2室1厅,南向,19385元/㎡,1995年建
万达华府越溪-友新路与石湖西路交汇处(石湖公园对面),79.32㎡,",满二,优质教育,随时看房,,距2号线新家桥站约1189米,",中层（共32层）,万达华府新上 新上装修如图景观房全湖景家具家电全留急,187万,2室2厅,南向,23575元/㎡,2016年建
"新港名城花园狮山-狮山路277号(塔园路以西,玉山路以北)",148㎡,",满五,随时看房,,距1号线苏州乐园站约615米,",低层（共6层）,名城花园带实验品质小区通透三房全新装修配套完善诚心出售,532万,3室2厅,南向,35946元/㎡,2003年建
和茂苑吴门桥街道-宝带西路1199号,89.69㎡,",满五唯一,随时看房,交通便利,",高层（共30层）,和茂苑精装两房 家电家具齐全精装修 随时可看房 可直接拎包入住,215万,2室2厅,南北向,23971元/㎡,2009年建
水香一村龙西街道-吴中西路60号,133㎡,",满五,,距4号线团结桥站约600米,",高层（共1层）,4号线 水香一村 精装4房 满2年 中间楼层 独库加汽车库,225万,3室2厅,南北向,16917元/㎡,2001年建
阳光城平江悦平江街道-姑苏人民路和莲升路交汇处向西50米,23㎡,",满五,",中层（共25层）,姑苏区双地铁到达 苏州火车站旁 复式精装公寓 繁华地段,39万,1室1厅,南向,16957元/㎡,2018年建
东亭家园唯亭-金陵西路东亭街1号,70㎡,",优质教育,",中层（共4层）,"东亭家园两室一厅,南北通透",158万,2室1厅,南北向,22571元/㎡,2002年建
苏都花园师惠-星都街39号(园区中央公园南侧),142.36㎡,",满五,优质教育,,距1号线中央公园站约609米,",低层（共10层）,苏都花园 精装142平通透大三房 星海校区可用 换房急售,730万,3室2厅,南向,51278元/㎡,2005年建
湖畔天城湖东-湖东钟园路669号,92.87㎡,",满五,优质教育,交通便利,繁华商圈,,距1号线南施街约894米,",中层（共24层）,湖畔天城 南北通透 户型方正 星洲房 换房急售,275万,2室2厅,南北向,29611元/㎡,2010年建
新湘苑平江街道-干将东路相门桥堍(新湘苑文体中心附近),37.57㎡,",满五,优质教育,,距1号线东环路站约818米,",高层（共6层）,"如您所见 此房满五年,小区环境优美,人文素质高,户型正气",86万,1室1厅,南向,22891元/㎡,2000年建
中海独墅岛住宅郭巷-星港街南延段墅浦路东800米(独墅湖西),88㎡,",满二,交通便利,随时看房,",高层（共31层）,"独墅岛精装小三房,出售,房屋保养好,的诚心出售。",260万,3室2厅,东南向,29545元/㎡,2015年建
盘蠡花园龙西街道-宝带西路388号(盘蠡路与宝带西路交界处),168㎡,",满五,,距2号线友联站约454米,",高层（共6层）,盘蠡花园、顶楼复式、大阳台、两个卫生间、三房、南北通透、,368万,3室2厅,南北向,21905元/㎡,1999年建
绿地太湖东岸花园滨湖新城-苏州湾大道与东太湖大道交汇处,138㎡,,高层（共4层）,"绿地太湖东岸叠加别墅,苏州湾新房,苏州湾实验",322万,5室2厅,南北向,23333元/㎡,2017年建
诚河新旅城木渎-塔园路55号(塔园路和向阳路交汇处),127㎡,,中层（共6层）,新旅城花园户型 多层洋房 得房率 四房两厅两卫 急售,270万,4室2厅,南北向,21260元/㎡,2015年建
中粮本源同里-同里镇同肖西路299路(紧邻同里古镇),265㎡,,"南岛实拍中粮本园独栋,578万,300平米大花园",568万,南向,21434元/㎡
石湖之韵越溪-圣陶路1号(越湖路国际教育园东侧),128.9㎡,",距4号线支线石湖莫舍站约688米,",低层（共5层）,"如您所见 千年大石湖畔,上方山脚下,精装三房,拎包即住",296万,3室2厅,南北向,22964元/㎡,2007年建
恒基旭辉城浒墅关-文昌路与鸿福路交界处(长江路北),142.2㎡,",满五,随时看房,",高层（共10层）,"地铁文昌实小旁鸿文雅苑叠加复试四房,带车位,位置安静",315万,4室2厅,南向,22152元/㎡,2017年建
水岸年华科技城-科发路与科研路交汇处(伊顿国际学校附近100,92㎡,",满五,优质教育,",低层（共11层）,急急急水岸年华 92平精装三房 满两年 省税费 中上楼层 看,265万,3室2厅,东向,28804元/㎡,2014年建
香城花园二区元和-相城大道88号(相城大道与润元路交汇处),106㎡,",满五,优质教育,",低层（共6层）,"保真!香城花园二区 南北通透婚装3房,陆慕家具家电全留",230万,3室2厅,南北向,21698元/㎡,2008年建
东港新村东环-东环路1500号(东环路和现代大道交叉口),123.61㎡,",满二,优质教育,,距1号线东环路站约993米,",中层（共5层）,东港新村十三组团 大3房 2008年的电梯房 房东换房急售,330万,3室2厅,南向,26697元/㎡,1998年建
中骏云景台平望-平东路与百盛路,100㎡,",满二,随时看房,",低层（共11层）,湖景花园洋房 毗邻莺脰湖 处水势聚财 对小九华寺 宜人丁兴旺,140万,3室2厅,南北向,14000元/㎡,2018年建
招商依云华苑元和-广济北路与安元路交叉处(紧邻4号线安元西路站,89.6㎡,",满二,优质教育,,距4号线姚祥站约123米,",中层（共23层）,招商依云华苑送40万装修三房高楼层好采光装修保养很新轻轨线,235万,3室2厅,南北向,26228元/㎡,2016年建
香山花园香山街道-校场路与香山路交汇处东南角,76㎡,",满五,创业首选,交通便利,",高层（共4层）,香山花园双实验精装两房精装家具家电全留 满2送车库免物业,100万,2室2厅,南北向,13158元/㎡,2015年建
香堤澜湾青剑湖-和顺路与扬庭路交汇处,98.91㎡,",满二,创业首选,随时看房,",低层（共28层）,新上 香堤澜湾 精装三房 210万 楼层位置好 看房方便,210万,3室2厅,南北向,21231元/㎡,2015年建
嘉和丽园元和-春申湖中路592号,97㎡,",优质教育,,距2号线徐图港站约913米,",低层（共11层）,"嘉和丽园,一梯两户,精装修三房,家具家电全留,位置安静",160万,2室2厅,南向,16495元/㎡,2012年建
香城花园一期元和-澄风路38号,149㎡,",优质教育,",高层（共11层）,香城花园一区 清水毛坯大四房 户型方正采光良好 有钥匙随时看,240万,4室2厅,南北向,16107元/㎡,2005年建
第五元素湖东-津梁路113号,117.5㎡,",满五,优质教育,随时看房,",高层（共11层）,第五元素 精装三房 南北通透 星洲、华润步行10m,402万,3室2厅,南北向,34213元/㎡,2010年建
东浜新苑枫桥-华山路与塔园路交汇处西北角,92.5㎡,",满五,优质教育,",中层（共5层）,东浜北区自住中户 房东换房出售 位置好不靠路,242万,3室2厅,南北向,26162元/㎡,2004年建
华辰嘉园元和-广济北路(阳澄湖西路与广济路延伸段交界处),89㎡,",距4号线孙武纪念园站约791米,",中层（共6层）,如您所见 华辰南区多层住宅 红蚂蚁装修 保养好 满五,235万,3室2厅,南向,26404元/㎡,2008年建
中海8号公馆湖东-湖东琉璃街与钟园路交汇处向南200米(方洲公,86.7㎡,",满五,随时看房,",中层（共25层）,"新上 真 实 房源!小区性价比醉高一套,婚装,保养好!",440万,3室2厅,南向,50750元/㎡,2014年建
现代园墅越溪-小石湖路555号(小石湖路和吴中大道交叉口),212㎡,",距4号线支线石湖莫舍站约844米,",新上现代园墅上叠加 精装修楼间距大前无遮挡看房方便,550万,南向,25943元/㎡
新湖明珠城滨湖新城-江陵西路1888号(仲英大道与江陵西路交汇处,108㎡,",满五,优质教育,,距4号线江陵西路站约731米,",低层（共18层）,"新湖明珠城聆湖苑,带车位,性价比,买到赚到",175万,3室2厅,南向,16204元/㎡,2016年建
苏州新城金郡越溪-越湖路南邵昂路66号(吴中大道与邵昂路交叉往,86㎡,",满二,优质教育,,距4号线清树湾站约1019米,",低层（共18层）,新城金郡 精装 两房朝南 172万,172万,2室2厅,南向,20000元/㎡,2012年建
石湖之韵别墅越溪-圣陶路(越湖路国际教育园东侧),477㎡,",满二,,距4号线支线石湖莫舍站约561米,",石湖之韵 大独栋477平 带大花园 精装修1480万诚售,1480万,南向,31027元/㎡
格林花园狮山-塔园路203号,144.2㎡,",满五,优质教育,,距1号线塔园路站约467米,",高层（共11层）,"地铁一号线,塔园路站,格林花园,精装三房落地窗,南北双阳台",350万,3室2厅,南向,24272元/㎡,2005年建
悦东区湖东-苏州工业园区复兴街与双圩路交叉口(时尚舞台商,70㎡,",满五,",高层（共20层）,园区东 时尚舞台旁边 地铁口 准现房 拎包入住,100万,3室2厅,南北向,14286元/㎡,2017年建
置地悦湖花园娄葑-企鸿路1号(星港街与东兴路交汇处往南),84.55㎡,,中层（共24层）,"如您所见 业主诚心出售,悦湖精装2房,2房朝南中等楼层",275万,2室2厅,南向,32525元/㎡,2013年建
苏州新城金郡二期越溪-越湖路南邵昂路66号(吴中大道与邵昂路交叉往,88.15㎡,",满五,,距4号线清树湾站约1038米,",中层（共5层）,新城金郡南区二期 3室2厅 南,192万,3室2厅,南向,21781元/㎡,2013年建
伟业迎春华府滨湖新城-松陵镇中山北路3222号,142.3㎡,",满二,优质教育,",中层（共6层）,迎春华府 精装 四室两厅两卫,258万,4室2厅,南向,18131元/㎡,2012年建
和风雅致玲珑-和众街215号,98.6㎡,",满五,优质教育,,距1号线文化博览中心站约721米,",高层（共20层）,新出 和风雅致 高楼层景观房 蓬莱仙境水系环绕 星湾可用,680万,2室2厅,南向,68966元/㎡,2012年建
中海星湖国际湖东-九华路123号(华池街与星湖街交汇处),119㎡,",满二,优质教育,,距1号线星湖街站约411米,",低层（共9层）,中海星湖国际精装3房景城未用省税带车位,666万,3室2厅,南向,55966元/㎡,2013年建
诚河新旅城木渎-塔园路55号(塔园路和向阳路交汇处),94㎡,,高层（共17层）,如您所见 红蚂蚁装修 中上楼层 拎包即住!婚房爆款,238万,3室2厅,南向,25319元/㎡,2015年建
合景峰汇国际元和-人民路延伸段与阳澄湖西路交叉口,92㎡,",优质教育,,距4号线孙武纪念园站约478米,",中层（共16层）,"如您所见 此房满两年,三房朝南户型,产权清晰诚心售.",260万,3室2厅,南向,28261元/㎡,2016年建
天誉生活广场越溪-石湖东路与枫津路交汇口(姑苏锦江大酒店西侧),44㎡,",满二,,距4号线石湖东路站约522米,",中层（共18层）,天誉广场公寓石湖东路地铁口复试公寓现房带阳台民用水电两房,80万,2室1厅,南北向,18182元/㎡,2016年建
四季晶华吴门桥街道-宝带西路888号(友新路和宝带西路交汇处),129㎡,",满五,,距2号线友联站约846米,",中层（共11层）,立达天辰博雅苑旁四季晶华 精装自住3房2卫 南北通透采光很好,410万,3室2厅,南向,31783元/㎡,2006年建
招商小石城紫竹园越溪-小石湖路6号(东临邵昂路、西临苏震桃公路),236.8㎡,,高层（共11层）,招商小石城紫竹园再出豪华云叠湖景房可看日出日落看湖景送车位,580万,4室2厅,南北向,24493元/㎡,2010年建
三香新村沧浪街道-三香路207号(三香路与盘胥路交汇处),61㎡,",满五,优质教育,,距2号线三香广场站约507米,",中层（共6层）,新上 三香新村 中间楼层 精装两房 全明户型 看房方便 拎包入住,122万,2室1厅,南向,20000元/㎡,1994年建
莲花新村六区斜塘-园区斜塘东延路,47㎡,",满二,优质教育,带车位,交通便利,",高层（共4层）,"莲花六区,采光好。南北通透。交通方便",120万,1室1厅,南北向,25532元/㎡,2007年建
白塘壹号湖东-白塘路1号(南施街与沈浒路交汇处),140㎡,",满二,优质教育,交通便利,繁华商圈,,距1号线星塘街站约1187米,",高层（共31层）,40万豪装二次改装 前排全白塘植物园景观 学未用南北双 满二通透,545万,3室2厅,南北向,38929元/㎡,2016年建
彩香一村四区金阊街道-彩香路与虹桥路交汇处向东100米,57㎡,",满五,,距1号线桐泾北路站约512米,",高层（共6层）,干将路 地铁口 彩香一村 精装修 全明户型 满五年 看房方便 急售,117万,2室1厅,南向,20526元/㎡,2000年建
合景领峰木渎-木渎镇金枫路268号,85.7㎡,",满五,,距1号线金枫路站约360米,",低层（共26层）,金枫路地铁口悠方旁合景领峰小三房价格便宜方房东急用钱,245万,3室2厅,南向,28588元/㎡,2014年建
珠江首府木渎-苏福路与珠江路交汇处向南100米(凯马广场附,122.4㎡,",满二,",中层（共18层）,珠江首 府 四开间朝南 通透精装好房 急售 房东诚心看中可谈,252万,4室2厅,南北向,20588元/㎡,2005年建
招商雍华府木渎-金枫南路8号,96.3㎡,",距1号线金枫路站约586米,",高层（共27层）,金路地铁口 招商雍华府 97三房两厅一卫 中上层景观楼 诚心,240万,3室2厅,南北向,24922元/㎡,2014年建
东门町公寓木渎-珠江南路花苑东路交界,63㎡,",满五,商住两用,交通便利,",中层（共14层）,"东门町豪华装修 110万 南北通透 挑高5.8米,民用水电",110万,2室2厅,南北向,17460元/㎡,2013年建
浒墅人家浒墅关-真武路南侧,108㎡,",满二,",中层（共18层）,"房东新房已定,现在急售,浒墅人家,105平毛坯 只需165万",165万,2室2厅,西北向,15278元/㎡,2016年建
康桥丽都元和-嘉元路663号(嘉元路南亚大厦南150米),86.5㎡,",满二,优质教育,,距2号线阳澄湖中路站约602米,",高层（共24层）,康桥丽都 精装两房 拎包入住 满两年,210万,2室2厅,南向,24277元/㎡,2011年建
中骏云景台平望-平东路与百盛路,95㎡,",满五,",高层（共8层）,湖景洋房 吴江 首付35万起 科技住宅 配套好 送车位,128万,3室2厅,南向,13474元/㎡,2018年建
香堤澜湾青剑湖-和顺路与扬庭路交汇处,96.26㎡,",满二,",中层（共20层）,"园区香堤澜湾正3房,南北通透,楼层好,位置好,视野好!",265万,3室2厅,南北向,27530元/㎡,2015年建
苏苑新村苏苑街道-花卉巷20弄(迎春路与苏苑街交汇处),72㎡,",满五,优质教育,带车位,交通便利,,距4号线团结桥站约759米,",中层（共5层）,新出!团结桥地铁站苏苑新村全明三点户型正气苏苑实小带独库,155万,3室1厅,南向,21528元/㎡,2000年建
"旭辉公元系萃庭胥口-子胥路北侧,孙武路东侧",93㎡,,高层（共13层）,旭辉公元系萃庭5号地铁口精装修3开间朝南改善3房双阳台,198万,3室2厅,南向,21290元/㎡,2019年建
蓝光和雍锦园木渎-金枫路与花苑东路交汇处(金枫路西侧),133.3㎡,",满二,",高层（共26层）,直接 四开间朝南 南北通透 总价只要300万,315万,4室2厅,南北向,23631元/㎡,2017年建
雅戈尔潇邦东区玲珑-西沈浒路588号(沈浒路与玲珑街交叉口),120㎡,",满二,优质教育,交通便利,繁华商圈,,距1号线文化博览中心站约871米,",中层（共26层）,"星湾经典通透大复式;,动静分离,实用面积180平,高楼层采光充",780万,4室2厅,南北向,65000元/㎡,2008年建
万科北宸之光元和-御窑路与安元路交汇处,88.7㎡,",满二,随时看房,",低层（共35层）,"南北通透小三房,中上楼层,采光好,三口之家,保养很好",185万,3室2厅,南北向,20857元/㎡,2016年建
华丽家族太湖汇景香山街道-蒯祥路与梅舍路交汇处,136㎡,,中层（共17层）,太湖汇景 三期 大户4房2厅 南北通透 中高楼层 户型,178万,4室2厅,南北向,13088元/㎡,2017年建
"觅渡里双塔街道-莫邪路以东,杨枝塘路以北",67.76㎡,",优质教育,",中层（共5层）,如您所见 觅渡里 新装修 楼层好 有车库采光好,260万,2室1厅,南向,38371元/㎡,2014年建
舟山花园香山街道-太湖度假区孙武路,106.7㎡,",满五,",高层（共11层）,舟山小高层2室2厅 超好位置 金楼层 采光佳 看房有钥匙,129万,2室2厅,南北向,12090元/㎡,2015年建
东亭家园唯亭-金陵西路东亭街1号,70㎡,",优质教育,",中层（共5层）,东亭中户南北通透采光无遮挡诚心出售精装自住,142万,2室1厅,南北向,20286元/㎡,2006年建
富康新村枫桥-华山路(枫桥人民医院后面),124.45㎡,",优质教育,",高层（共3层）,如您所见 富康新村 3室2厅 124平,275万,3室2厅,南向,22097元/㎡
东方花园师惠-现代大道188号(沃尔玛斜对面),92㎡,",满五,优质教育,,距1号线中央公园站约795米,",高层（共11层）,拎包就住 东方花园 精装电梯两房 房东诚意急卖 还送车位!,260万,2室2厅,南向,28261元/㎡,2002年建
花样年别样城香山街道-伍相路与香山南路交汇处,86.9㎡,",满二,",中层（共17层）,花样年房东自住装修 两室两厅 诚意出售 三开间朝南 近,148万,2室2厅,南北向,17031元/㎡,2015年建
九龙仓时代上城二期繁湖东-现代大道与钟南街交汇处,132.14㎡,",满五,优质教育,,距1号线钟南街站约817米,",高层（共31层）,"繁华里,经典户型,通透大三房,保养好,机会难得",650万,4室2厅,南北向,49190元/㎡,2013年建
福星新城吴门桥街道-吴中西路818号(友新路与吴中西路交汇处以西,147.69㎡,",满五,随时看房,,距2号线友联站约817米,",高层（共24层）,全新红蚂蚁婚装 +立达 福星新城lou王 三房 中间位置,480万,3室2厅,南向,32501元/㎡,2008年建
惠丰花园浒墅关-惠丰街15号,105㎡,",满二,优质教育,",中层（共18层）,惠丰花园二区精装修大3房 未住过人 拎包入住 房东诚售,190万,3室2厅,南北向,18095元/㎡,2013年建
苏州新城金郡越溪-越湖路南邵昂路66号(吴中大道与邵昂路交叉往,82㎡,",满二,优质教育,,距4号线清树湾站约1019米,",中层（共17层）,"新上 新城金郡,南北两房,户型不错。家具家电都留!!!",165万,2室2厅,南北向,20122元/㎡,2012年建
印象欧洲昆山-中新大道东(原苏胜路东),89㎡,",满二,带车位,即租即用,",中层（共16层）,"悠悠中国风,泼墨山水画,别致的装修给懂得您,印象欧洲,等您来",150万,2室2厅,南北向,16854元/㎡,2015年建
沁怡家园狮山-滨河路与玉山路交叉口,102㎡,",优质教育,",中层（共11层）,急售 国际公馆 精装通透两房 拎包入住 看房有钥匙新区实验,475万,2室2厅,南北向,46569元/㎡,2005年建
万业湖墅金典郭巷-开发区郭巷街道通达路东侧、东方大道南侧(东方,127㎡,",优质教育,",低层（共30层）,万业湖墅经典 方正户型 毛坯4房 南北通透 双阳台,300万,4室2厅,南向,23622元/㎡,2013年建
天房心著华庭狮山-竹园路塔园路交汇处(新区实验小学东侧约10米,126.4㎡,",距1号线玉山路站约1187米,",高层（共22层）,天房心著 精装3房2厅 采光好 南北通透,545万,3室2厅,南北向,43117元/㎡,2017年建
招商小石城梧桐园越溪-小石湖路6号(东临邵昂路、西临苏震桃公路),96.17㎡,",满二,",中层（共22层）,招商小石城梧桐园 精装小三房 家具家电全留 看房提前约,239万,3室2厅,南向,24852元/㎡,2015年建
姑香苑吴门桥街道-双虹路,67.29㎡,",满二,优质教育,,距2号线劳动路站约954米,",中层（共6层）,如您所见实拍新上姑香苑王兆江热推中间楼层67平150万,153万,2室1厅,南向,22737元/㎡,1999年建
春申景城黄埭-黄埭镇春丰路246号,84㎡,",满二,",中层（共6层）,"比邻合作社大超市,采光无遮挡,小区绿化环境好",149万,2室2厅,南北向,17738元/㎡,2008年建
旭辉上河郡浒墅关-长江路北兴贤路与文昌路交界(大润发对面),93㎡,,中层（共16层）,旭辉上河郡丶精装自住大三房丶边户采光丶满两年省税丶诚心售,185万,3室2厅,南向,19892元/㎡,2012年建
恒基水漾花城元和-春申湖西路与御窑路北交叉口(相城实验中学附近,122㎡,",优质教育,随时看房,,距4号线活力岛站约508米,",高层（共15层）,水漾花城 通透大三房 全新装修40万 带入户花园 沿河景观房,262万,3室2厅,南北向,21475元/㎡,2012年建
金枫美地木渎-金枫路与苏福路交汇处,114㎡,",满五,交通便利,繁华商圈,",中层（共6层）,金枫美地!精装修大三房!中间楼层!南北通透!采光刺眼!,198万,3室2厅,南北向,17368元/㎡,2010年建
阳光城平江悦平江街道-姑苏人民路和莲升路交汇处向西50米,75㎡,",满五,随时看房,",高层（共24层）,平江万达广场 地铁口旁在售挑高9米的复试公寓 空中别墅的感觉,118万,4室2厅,南向,15733元/㎡,2016年建
雅戈尔潇邦东区玲珑-西沈浒路588号(沈浒路与玲珑街交叉口),110.6㎡,",满五,优质教育,随时看房,,距1号线文化博览中心站约871米,",中层（共26层）,"自有房源 星湾大四房,精装大,全新装修高楼层全天采光。",820万,4室2厅,南北向,74141元/㎡,2010年建
越湖家天下越溪-吴中大道99号(吴中大道与邵昂路交汇处往南2,89㎡,",满二,优质教育,,距4号线支线蠡墅站约229米,",中层（共25层）,"家天下高层小三室,买断车位另售,精装保养好,楼层好",218万,3室2厅,南向,24494元/㎡,2014年建
合景领峰木渎-木渎镇金枫路268号,138㎡,",距1号线金枫路站约360米,",中层（共26层）,如您所见 合景领峰 业主急售 送面积 户型正气,400万,5室2厅,南向,28986元/㎡,2012年建
金榈湾浒墅关-大通路与浒杨路交汇处,87.24㎡,",满五,",中层（共11层）,金榈湾精装大两房 大阳台 无遮挡采光 品质小区,152万,2室2厅,南向,17423元/㎡,2008年建
尼盛青年城狮山-玉山路699号,69㎡,",距1号线木渎站约891米,",高层（共6层）,如您所见 全新毛坯 全明户型 实用面积高,170万,2室2厅,南向,24638元/㎡,2009年建
招商小石城玉兰园越溪-小石湖路6号(东临邵昂路、西临苏震桃公路),90.48㎡,",满二,优质教育,交通便利,随时看房,",低层（共17层）,"小石城2区玉兰园 3室2厅 南 毛坯 有钥匙,随时看房",195万,3室2厅,南北向,21552元/㎡,2015年建
中锐琅石名筑元和-纪元路688号(相城区白金汉爵南面100米),140㎡,",满五,随时看房,,距2号线阳澄湖中路站约315米,",中层（共6层）,琅石名著 新出房源 叠加别墅 34叠带40平储藏室 随时看,410万,5室2厅,南北向,29286元/㎡,2018年建
中海独墅岛郭巷-墅蒲路(南环批发市场旁),509㎡,",满五,优质教育,",如您所见 1150万 509平 单价2万的独栋别墅,1398万,南向,27466元/㎡
招商小石城桂花园越溪-小石湖路6号(东临邵昂路、西临苏震桃公路),96㎡,",满二,",中层（共25层）,房东准备结婚换房。诚心出售。。。。。,233万,3室1厅,南向,24271元/㎡,2014年建
路劲澜溪苑住宅湖东-路劲尚澜湾位于园区榭雨街共耀路交汇口,143㎡,",满五,",高层（共20层）,户型很好 园区奥体板块真实拍摄 路劲澜山澜大四房开发商统装,650万,4室2厅,南北向,45455元/㎡,2016年建
格林华城滨湖新城-吴江江陵东路8号,103㎡,",满五,交通便利,随时看房,",中层（共6层）,"格林华城,东环南延去苏州十车程,三开间朝南带大阳台,可谈",168万,3室2厅,南向,16311元/㎡,2011年建
徐家浜新村东环-东环路与中新大道西交接东北180米处,85㎡,",优质教育,,距1号线东环路站约363米,",低层（共6层）,如您所见 徐家浜新村 小三室 诚心出售 有钥匙 看房随时,195万,3室1厅,南向,22941元/㎡,1993年建
华丽家族太湖汇景香山街道-蒯祥路与梅舍路交汇处,95㎡,",交通便利,随时看房,",低层（共18层）,新出太湖汇景精装三房165万家电全留房东现在急卖!急卖! ! !,165万,3室2厅,南北向,17368元/㎡,2017年建
胥香园胥口-胥口镇子胥路88号(胥香园首末站附近),95㎡,",满五,",高层（共5层）,胥香园稀有精装修南北通透两室一卫可改三房 满五省税随时看,165万,2室2厅,南北向,17368元/㎡,2005年建
恒基水漾花城元和-春申湖西路与御窑路北交叉口(相城实验中学附近,103㎡,",满二,优质教育,交通便利,带车位,,距4号线活力岛站约508米,",中层（共15层）,水漾花都20万婚装两房 家私全留 陆慕实小 房东换房诚售,185万,2室2厅,南北向,17961元/㎡,2010年建
花样年别样城香山街道-伍相路与香山南路交汇处,85㎡,",满二,繁华商圈,随时看房,",高层（共17层）,别样城精装大两房!业主换房急卖!目前只挂了我们一家!急卖,140万,2室2厅,南北向,16471元/㎡,2016年建
新馨花园贵都-中新路5号(园区职业技术学院附近),121.94㎡,",优质教育,,距1号线中央公园站约188米,",低层（共6层）,如您所见 新馨花园 3室2厅 121平,817万,3室2厅,南向,67000元/㎡,2004年建
华辰嘉园元和-广济北路(阳澄湖西路与广济路延伸段交界处),121㎡,",满五,,距4号线孙武纪念园站约791米,",高层（共15层）,华辰嘉园北区 湖景房 婚装3房 中间楼层 满五不,278万,3室2厅,南向,22975元/㎡,2010年建
