address,area,desc,name,phone,room,status,unit
[请选择]吴中吴郡路318号,89~173平米,"普通住宅,品牌地产",建屋吴郡半岛,400-890-0000 转 833430,2居/3居/4居,在售,21000元/㎡起
[请选择]吴江江陵西路东段(江陵西路与中山北路交叉口),95~288平米,"普通住宅, 花园洋房,小户型",海亮长桥府,400-890-0000 转 627295,3居/4居/5居,在售,18000元/㎡起
[中环]园区万寿街88号,,"普通住宅, 叠拼,品牌地产",中国铁建花语江南,400-890-0000 转 818578,中国铁建花语江南具体开盘时间待定,在售,价格待定
[请选择]吴中玉山路866号(寿桃湖对面),141~167平米,"别墅,湖景地产,宜居生态地产",中航樾园,400-890-0000 转 830646,4居,在售,23000元/㎡起
[请选择]吴中迎春南路168号,71~140平米,"普通住宅,品牌地产",宝韵铂宫,400-890-0000 转 873700,1居/2居/3居/4居,在售,16000元/㎡起
[请选择]吴中木渎金枫路与金长路交汇处(科技创业园西500米),92~139平米,"普通住宅,品牌地产,现房",天地源拾锦香都,400-890-0000 转 831599,3居/4居,在售,价格待定往期22000元/㎡
[请选择]园区八达街99号(星湖街和创苑路交汇处),148~240平米,"普通住宅,湖景地产",月亮湾3号三期,400-890-0000 转 833242,4居/5居以上,在售,33500元/㎡
[请选择]吴江七都镇庙港社区沿湖路48号(好运来超市向西1000米),125~138平米,"普通住宅,现房,宜居生态地产",南港悦府,400-890-0000 转 836450,3居,在售,7200元/㎡起
[请选择]新区天佑路与科广路交汇处,95~120平米,"普通住宅,品牌地产",望云山花园,400-890-0000 转 862803,3居/4居,在售,26000元/㎡
[中环]吴中塔韵路东侧、天颜路北侧天颜路8号,,"普通住宅,品牌地产",金融街融悦湾,400-890-0000 转 804918,金融街融悦湾预计2019年6月,在售,价格待定
[请选择]相城金砖路与聚茂路交汇处(繁花中心北侧约1.5公里),89~144平米,"普通住宅,复合地产",水漾花城花苑,400-890-0000 转 652737,3居/4居,在售,20000元/㎡
[请选择]姑苏劳动路与胥台路交汇处(轨交2号线劳动路站往西约500米),105~220平米,"普通住宅,江景地产,不限购",江湾雅园,400-890-0000 转 831628,3居/4居,在售,34000元/㎡起
[请选择]园区石莲街2号,,"别墅,品牌地产,豪华居住区,特色别墅",世茂铜雀台别墅,400-890-0000 转 805134,5居以上,在售,价格待定往期34700元/㎡
[请选择]相城凤湖路8号,89~131平米,"普通住宅,品牌地产",禹洲招商拾鲤,400-890-0000 转 842112,3居/4居,在售,15000元/㎡
[请选择]吴中金庭镇林屋路268号(西山岛林屋洞景区旁),60~110平米,"别墅,品牌地产",雁归来院,400-890-0000 转 872375,2居/3居,待售,价格待定
[请选择]相城望亭镇问渡路与迎湖路交叉口(交警中队对面),,"普通住宅, 商住公寓,江景地产",华园丽都阳光,,华园丽都阳光目前尾盘住宅房源在售面积89-223㎡,待售,
[中环]园区金鸡湖大道与星塘街交汇处,,"普通住宅,品牌地产",泊云庭,400-890-0000 转 899792,泊云庭预计7月份首次开盘,待售,价格待定
[请选择]相城御窑路和兴盛路交汇口(万科北辰之光北340米),89~124平米,"普通住宅,水景地产",嘉境天成,400-890-0000 转 831236,3居,待售,21000元/㎡起
[请选择]吴中胥口镇胥欣路221号(胥口公园对面),84~269平米,"别墅,水景地产,低密居所",胥江一号别墅,400-890-0000 转 624349,2居/3居/4居,待售,15000元/㎡起
[请选择]姑苏人民路与城北东路交汇处(平江万达斜对面),49~81平米,"普通住宅, 商住公寓,地铁沿线,loft",苏州星健中心,400-890-0000 转 841892,1居/2居,待售,12000元/㎡起
[中环以外]吴江江陵东路与运东大道交汇处,108平米,"普通住宅, 叠拼,品牌地产",翡翠公园,400-890-0000 转 822044,3居,待售,209万元/套起
[中环]吴江运东大道111号,99~140平米,"普通住宅,品牌地产",大运河府,400-890-0000 转 884499,3居/4居,待售,价格待定
姑苏桐泾路西、劳动路南(农业银行斜对面),105~165平米,"普通住宅,湖景地产",海胥澜庭,400-890-0000 转 831147,2居/3居/4居,待售,36000元/㎡
[请选择]吴中东安路与郭新东路交汇处,160平米,"普通住宅,品牌地产,湖景地产",尹山湖景花园,400-890-0000 转 833654,4居,待售,25000元/㎡
[中环]吴江运河北路与吉市西路交叉口,83~89平米,"普通住宅, 花园洋房,品牌地产",四季春晓,400-890-0000 转 891189,2居/3居,待售,价格待定
[请选择]吴江中山南路与龙河路交叉口以东,,"普通住宅,品牌地产",中海富仕居,400-890-0000 转 878772,中海富仕居115㎡新房源即将加推,待售,价格待定往期18214元/㎡
吴中环湖路西通达路东侧(近运动公园),,"普通住宅, 花园洋房,品牌地产,低密居所",九龙仓碧堤半岛,400-890-0000 转 861400,九龙仓碧堤半岛将预计6月份加推别墅产品,待售,价格待定往期18692元/㎡
[请选择]吴中东方大道与郭新东路交汇处,115~250平米,"普通住宅,品牌地产",泰禾金尊府,400-890-0000 转 842089,3居/4居/5居,待售,28000元/㎡
[请选择]园区星湖街与唯澄路交汇处往东500米,143~165平米,"大平层,品牌地产,低密居所,豪华居住区",中海上园湾,400-890-0000 转 898779,4居,待售,价格待定
[中环]相城富元路地铁站旁,95~143平米,"普通住宅, 花园洋房,品牌地产,地铁沿线",苏州紫郡兰园,400-890-0000 转 893984,3居/4居,待售,26000元/㎡起
"[请选择]相城澄云路西,蠡塘河路南",130~170平米,"普通住宅, 叠拼,复合地产",雅居乐新乐府,400-890-0000 转 840738,4居/5居,待售,22000元/㎡起
[内环]姑苏人民路和莲升路交汇处向西50米,23~75平米,"酒店式公寓, 酒店写字楼,品牌地产",阳光城平江悦,400-890-0000 转 845650,1居/2居/4居,待售,18500元/㎡
[中环以外]吴江松陵大道庞杨路交汇处,,"普通住宅,品牌地产",中南紫云集,400-890-0000 转 898895,中南紫云集处于松陵大道庞杨路交汇处,待售,价格待定
[内环]姑苏人民路8号,120~142平米,"别墅,品牌地产,花园洋房",朗诗玻纤路588号,400-890-0000 转 888427,3居/4居,待售,36500元/㎡
[内环]姑苏人民路8号,120~142平米,"别墅,品牌地产,花园洋房",朗诗玻纤路588号,400-890-0000 转 888427,3居/4居,在售,36500元/㎡
[请选择]园区青剑湖夷浜路88号(科技城邻里中心东),,"普通住宅,科技住宅",建屋天著,400-890-0000 转 823278,建屋天著预计后期推出别墅、小高层房源,在售,价格待定往期25000元/㎡
[请选择]吴江盛泽镇白龙桥路与秋泽路交汇处(盛泽第二中学东约300米),,"普通住宅,小户型,花园洋房",荷塘月苑,400-890-0000 转 817642,荷塘月苑预计2019年7月加推三期新房源,在售,价格待定往期9000元/㎡
[中环]新区真北路与真山路交汇处,89~146平米,"普通住宅, 花园洋房,品牌地产,低总价",禹洲嘉誉山,400-890-0000 转 866256,3居/4居,在售,17800元/㎡起
[请选择]吴中独墅湖西怡湖路南(独墅湖实验小学东约700米),110~246平米,"普通住宅,湖景地产",华润金悦湾,400-890-0000 转 830255,3居/4居/5居/5居以上,在售,23000元/㎡起
[请选择]吴江东方大街2号(德尔路与目澜路交汇处),95~128平米,"联排, 普通住宅,宜居生态地产",绿地林肯公馆,400-890-0000 转 612788,3居/4居,在售,9500元/㎡
[请选择]姑苏广济北路、合兴路向东400米,,"普通住宅,品牌地产",浅棠平江花园,400-890-0000 转 877443,浅棠平江花园108-185㎡即将公开,在售,35500元/㎡
[请选择]吴江汾湖镇黎里黎民北路277号,92~115平米,"普通住宅,低总价,小户型",南湖景苑,400-890-0000 转 842501,2居/3居,在售,9800元/㎡起
[请选择]吴中香山路与蒯祥路交汇处(太湖度假区管委会旁),65~125平米,"普通住宅,品牌地产",蔚蓝四季花园,400-890-0000 转 860217,1居/2居/3居/4居,在售,18500元/㎡
[请选择]相城华元路与织锦路交叉路口,90~130平米,"普通住宅,水景地产,地铁沿线,打折优惠楼盘",水韵花都幸福里,400-890-0000 转 890600,2居/3居,在售,23000元/㎡
[请选择]相城润元路与齐门北大街交汇处,115~290平米,"普通住宅,水景地产,宜居生态地产",姑苏铭著,400-890-0000 转 821011,3居/5居/5居以上,在售,430万元/套起
[请选择]吴中独墅湖生态公园南50米(东方大道与赏湖路交汇处),130~480平米,"联排, 普通住宅,湖景地产",建发独墅湾雅苑,400-890-0000 转 832804,3居/4居,在售,530万元/套
[中环以外]吴江中山南路与芦荡路交汇处,,"普通住宅,品牌地产",新希望锦麟九里,400-890-0000 转 891300,新希望锦麟九里项目样板间已公开，开盘在即,在售,价格待定
[中环]园区东兴路宏业路处,125~183平米,"普通住宅,品牌地产",星翠澜庭,400-890-0000 转 884729,3居/4居,在售,价格待定
[请选择]新区武夷山路与富春江路交汇处(朗诗绿洲东侧),176~199平米,"联排, 普通住宅,低密居所",景瑞无双,400-890-0000 转 802655,5居/5居以上,在售,550万元/套起
[请选择]吴江北麻漾西新中路与永宁路交汇处,102~129平米,"联排, 普通住宅,品牌地产",悦隽花园,400-890-0000 转 874951,3居/4居,在售,9800元/㎡起
[中环]吴江吉市西路与运东大道交叉口,98~120平米,"普通住宅,品牌地产",联发棠颂,400-890-0000 转 894890,3居/4居,在售,20000元/㎡
[请选择]相城南天成路与澄阳路交汇处(高铁新城核心区),105~155平米,"普通住宅,品牌地产",MOC芯城汇星昱未来,400-890-0000 转 881599,3居/4居,在售,27000元/㎡
[请选择]吴中竹园路与中环西线交汇处(地铁1号线金枫路地铁口向西200米),118~330平米,"普通住宅,品牌地产",国瑞熙墅,400-890-0000 转 839063,3居,在售,400万元/套起
[请选择]新区凤凰峰路与石林路交汇处,145~280平米,"普通住宅, 叠拼,品牌地产",大象山舍,400-890-0000 转 876818,2居/4居,在售,价格待定
[中环]吴中郭新东路与东安路交汇处,48~70平米,"SOHO,品牌地产",保利悦都soho,400-890-0000 转 827110,1居/2居,在售,15000元/㎡
[中环]新区狮山街道珠江路与金山东路交叉口,129~180平米,"别墅,品牌地产",山水樾澜庭,400-890-0000 转 896727,3居/4居,在售,价格待定
[请选择]吴江中山南路与庞杨路交汇处(吴江新体育场对面),,"普通住宅,复合地产",璀璨四季花园,400-890-0000 转 831348,璀璨四季花园价格待定,在售,价格待定往期14500元/㎡
"[请选择]吴江长板路1号(长安路东侧,紧邻吴江汽车站)",101~230平米,"普通住宅,地铁沿线",苏高新地产天城花园,400-890-0000 转 663158,2居/3居/4居/5居,在售,14000元/㎡
"吴江顾家荡路南,高新路北(湖光路两侧)",,"普通住宅,经济住宅, 			
					,苏州湾实验小学,
										 
				",苏州湾景苑,400-890-0000 转 806494,苏州湾景苑价格待定,在售,价格待定往期18000元/㎡
[请选择]相城青龙港路18号(青龙港路与修远路交汇处、苏大实验学校正对面),291~323平米,"普通住宅, 花园洋房,品牌地产",建发泱誉雅苑,400-890-0000 转 842357,4居,在售,600万元/套
[请选择]相城相城大道西建元路北(地铁2号线蠡口站斜对面),143~160平米,"普通住宅, 花园洋房,地铁沿线",中粮朝阳河花苑,400-890-0000 转 833410,4居/5居,在售,21000元/㎡
[请选择]新区松花江路933号(浒光运河西),96~143平米,"普通住宅,宜居生态地产",虹锦湾,400-890-0000 转 618945,3居/4居,在售,18000元/㎡
[请选择]吴江中山路与江陵西路交界处,92~139平米,普通住宅,逸品阁繁华里,400-890-0000 转 800388,2居/3居/4居,在售,15000元/㎡
[请选择]吴中吴中大道1001号(友新高架西侧),90~265平米,"普通住宅,湖景地产",水岸清华瀚宫,400-890-0000 转 627576,3居/4居/5居,在售,24500元/㎡起
"[请选择]吴中星港街南,怡湖路与墅浦路交汇处(独墅湖实验小学东侧)",127~138平米,"普通住宅, 花园洋房,品牌地产",独墅湖西金悦花园,400-890-0000 转 866525,3居/4居,在售,25000元/㎡
[请选择]姑苏南门路与内马路交汇处(人民桥东侧),148~286平米,"普通住宅,江景地产,不限购",南门世家,400-890-0000 转 826061,3居/5居/5居以上,在售,31000元/㎡
[请选择]吴中金枫路与竹窝路交叉口,97~134平米,普通住宅,姑苏金茂悦,400-890-0000 转 827009,3居/4居,在售,25500元/㎡
[请选择]吴中吴中大道与长蠡路交汇处(地铁4号线蠡墅站),95~161平米,"普通住宅,湖景地产",鲁能公馆,400-890-0000 转 819636,3居/4居,在售,28000元/㎡
[请选择]新区嘉陵江路和武夷山路交汇(科技城医院东),95~165平米,"普通住宅, 叠拼,品牌地产",合著花园,400-890-0000 转 865309,3居/4居,在售,33000元/㎡
[请选择]相城太东路与聚金路交汇处(东宝盛世商业广场旁300米),131平米,"普通住宅,小户型",卓兴澜庭,400-890-0000 转 818082,4居,在售,15000元/㎡起
[请选择]吴江吴江经济开发区江陵东路与庞北路交汇处,98~135平米,"普通住宅,品牌地产",璀璨绿翠花园,400-890-0000 转 823506,3居/4居,在售,18500元/㎡
[请选择]园区苏州中心体验馆公寓区(苏绣路与星阳街交汇处),58~130平米,"商住楼,国际化社区,豪华居住区,湖景地产",苏州中心9号,400-890-0000 转 822737,1居/2居,在售,45000元/㎡起
[请选择]吴江同里镇同肖西路299路(肖西路与迎燕西路交汇处),136~365平米,"别墅,特色别墅",中粮本园,400-890-0000 转 612835,3居/4居/5居,在售,26500元/㎡
[请选择]姑苏江坤路138号(总官堂路与江坤路交汇处),30平米,"标准写字楼,不限购,酒店式公寓",亿博青春汇,400-890-0000 转 827439,1居,在售,12000元/㎡起
[请选择]姑苏江坤路138号(总官堂路与江坤路交汇处),30平米,"标准写字楼,不限购,酒店式公寓",亿博青春汇,400-890-0000 转 827439,1居,在售,12000元/㎡起
[请选择]吴中经济开发区郭新东路南侧、尹山湖路西侧,50平米,"购物中心,经济住宅,湖景地产",阳光天地商业广场,400-890-0000 转 695697,1居,在售,15000元/㎡起
[请选择]姑苏玻纤路南北两侧,115~140平米,"普通住宅, 花园洋房,品牌地产",姑苏樾,400-890-0000 转 875516,3居,在售,38000元/㎡
[请选择]吴中长江南路与七子路交叉处,114~142平米,"联排, 普通住宅,品牌地产",尼盛绿城春江明月,400-890-0000 转 833736,3居/4居,在售,19000元/㎡
[请选择]吴江镇南一路与永宁路交叉口(实验小学东校区旁),132~167平米,"普通住宅,花园洋房",悦湖美郡,400-890-0000 转 812014,4居,在售,8600元/㎡起
[请选择]吴中临湖镇银藏路北(禾盛花苑东侧),86~130平米,"普通住宅,品牌地产",花漫四季花园,400-890-0000 转 840624,3居/4居/5居,在售,14000元/㎡起
[请选择]姑苏桐泾南路与胥江路交汇处,,"普通住宅, 叠拼,品牌地产,地铁沿线",华发公园首府,400-890-0000 转 847382,华发公园首府目前暂未开盘,在售,价格待定周边31700元/㎡
[请选择]吴中临湖镇东山大道和渡村路的交汇处,88~110平米,"普通住宅,品牌地产",金辉悠步临湖,400-890-0000 转 840790,2居/3居/4居,在售,15000元/㎡
[请选择]吴江长板路1号(长安路东侧),20~37平米,"商住楼,品牌地产",万科苏高新四季风景商业广场,400-890-0000 转 864460,1居,在售,10000元/㎡
[请选择]园区阳澄湖半岛(国家级旅游度假区),86~116平米,"别墅,湖景地产",华谊兄弟艺术家村,400-890-0000 转 820931,3居,在售,21000元/㎡起
[请选择]园区翠园路与华池路交汇处(工业园区管委会西边),92~253平米,"酒店式公寓, 酒店写字楼,水景地产",九龙仓苏州国际金融中心,400-890-0000 转 836373,1居/2居/3居,在售,45000元/㎡
[请选择]吴江松陵大道与芦荡路交汇处(北外附属苏州湾外国语学校向东200米,,"普通住宅,宜居生态地产",朗诗滨湖绿郡花园,400-890-0000 转 892249,朗诗滨湖绿郡花园价格待定,在售,价格待定往期17500元/㎡
[请选择]相城澄阳路与南天成路交叉口(苏州北站向东200米),32~63平米,"商住楼,品牌地产",MOC芯城汇商办芯汇湖商务中心,400-890-0000 转 842498,1居,在售,14000元/㎡起
[中环]吴江庞杨路1939号,97~142平米,"普通住宅, 花园洋房,花园洋房",缤纷桃李花园,400-890-0000 转 883820,3居/4居,在售,价格待定
园区白塘路1号(南施街、沈浒路交汇处),,"普通住宅,复合地产,地铁沿线,打折优惠楼盘",白塘壹号,400-890-0000 转 656251,白塘壹号预计6月份左右加推别墅房源,在售,价格待定往期35000元/㎡
[请选择]姑苏西园路与桐泾北路交汇处往西100米,123~382平米,"普通住宅,豪华居住区",泰禾华发姑苏院子,400-890-0000 转 838267,3居/4居/5居,在售,530万元/套起
[请选择]吴江盛泽经济开发区镇政府西盛南线与永平路交叉处向西100米,94~128平米,"普通住宅,经济住宅",新城十里锦绣,400-890-0000 转 845708,3居/4居,在售,9750元/㎡起
[请选择]新区稼先路、科研路交汇处(致远国际商务大厦旁50米),,"商住楼,品牌地产,复合地产",绿地中央广场,400-890-0000 转 629664,绿地中央广场价格待定,在售,价格待定往期18000元/㎡
[请选择]新区阳山东路与旺家府街交汇处(秦馀广场南侧500米处),214~256平米,"别墅,山景地产",仰山墅,400-890-0000 转 829287,4居,在售,18000元/㎡起
[请选择]姑苏阊胥路与景德路交汇处,260~580平米,"别墅,品牌地产,低密居所",当代蘇洲府MOMΛ,400-890-0000 转 842080,4居/5居,在售,1200万元/套起
[请选择]吴中临湖镇前青街299号(吴中大道西),85~110平米,"独栋, 联排,品牌地产",合景泰富未名园映月台,400-890-0000 转 862193,3居/4居,在售,17000元/㎡起
[请选择]新区虎疁路与北津西路交汇处,76~121平米,"普通住宅,品牌地产",苏悦湾,400-890-0000 转 873084,2居/3居/4居,在售,21000元/㎡起
姑苏金筑街与虎池路交汇处(美佳超市附近),37~68平米,"普通住宅,复合地产",星光耀广场,400-890-0000 转 806652,1居/2居,在售,13500元/㎡
[中环]吴江运东大道以东、湖心西路以南,135~153平米,"普通住宅, 叠拼",新希望锦麟府,400-890-0000 转 891334,4居/5居,在售,23000元/㎡
[请选择]吴江百盛路与莺脰湖路的交叉口(湿地公园对面),95~130平米,"普通住宅, 叠拼,品牌地产",当代ΜΟΜΛ大湖上品,400-890-0000 转 882623,3居/4居,在售,价格待定
"[请选择]相城华元路北,澄和路西",,"普通住宅, 商住公寓,品牌地产,复合地产",绿地都会商业中心,400-890-0000 转 816156,绿地都会商业中心公寓在售面积50㎡、60㎡、67㎡,在售,12000元/㎡起
[请选择]吴江中山北路1355号(中山北路与柳胥路交汇处),86~112平米,"普通住宅,经济住宅",K2海棠湾,400-890-0000 转 801314,3居,在售,21000元/㎡起
[中环]园区亭青街与唯观路交汇处,,"普通住宅,品牌地产",云栖安缦,400-890-0000 转 899396,云栖安缦价格待定,在售,价格待定
相城太东路与相融路交界处(地铁二号线骑河站旁),80~146平米,"普通住宅,地铁沿线,湖景地产",环秀湖花园,400-890-0000 转 813444,2居/3居/4居,在售,331万元/套起
[中环]吴江太湖新城东太湖大道11888号,54~194平米,"标准写字楼,品牌地产",苏州绿地中心,400-890-0000 转 840594,1居/5居以上,在售,12000元/㎡
"[中环以外]吴中茅蓬路南侧,孙武路西侧",94~165平米,"普通住宅,品牌地产",旭辉公元系弘庭,400-890-0000 转 899801,3居/4居,在售,价格待定
[中环以外]吴中太湖度假区伍相路8号(度假区小学东约200米),86~130平米,"普通住宅,品牌地产",太湖相王府橘郡,400-890-0000 转 889951,3居/4居,在售,15800元/㎡起
[请选择]吴中苏福路与塔园路交叉口,97~170平米,"普通住宅,品牌地产",水岸四季花园,400-890-0000 转 842142,3居/4居,在售,400万元/套
[请选择]新区桑苑路981号,83~131平米,"普通住宅,复合地产",陆家嘴锦绣澜山,400-890-0000 转 866050,2居/3居,在售,价格待定往期18000元/㎡
[请选择]吴中金枫路与花苑东路交汇处(金枫路西侧),,"普通住宅,宜居生态地产",蓝光和雍锦园,,4居/5居/5居以上,在售,
[请选择]吴江高新区(黎里镇)北京路1号,89~116平米,"普通住宅,小户型",云溪四季庭,400-890-0000 转 869180,3居/4居,在售,22000元/㎡
[中环]姑苏虎丘路北玖园东,,"别墅,品牌地产",银城原溪,400-890-0000 转 899804,银城原溪具体开盘时间待定,在售,价格待定周边35916元/㎡
[请选择]新区真北路与中唐路交汇处,92~125平米,"普通住宅,品牌地产",新澎湃国际社区,400-890-0000 转 878487,3居/4居,在售,183万元/套起
[请选择]吴中木渎镇金枫路980号(苏福路与金枫路交界处),,"普通住宅,品牌地产,宜居生态地产",苏高新大成珺,,苏高新大成珺已售罄,在售,
[请选择]新区浒墅关大道与名蓝街交汇处,89~115平米,"普通住宅,品牌地产",弘阳上熙名苑,400-890-0000 转 879061,3居/4居,在售,22000元/㎡起
[请选择]新区竹园路与金枫路交汇处,56~123平米,"商住楼,科技住宅",狮山当代ΜΟΜΛ,400-890-0000 转 812912,1居/2居/3居,在售,21000元/㎡起
[请选择]吴中太湖西路188号(太湖西路与龙西路交汇处),99~160平米,"普通住宅, 花园洋房,品牌地产",如苑,400-890-0000 转 820701,3居/4居,在售,28000元/㎡
[请选择]相城翡翠路与珍珠湖路交汇处,130~260平米,"别墅,品牌地产,经济住宅,宜居生态地产",国展和昌芳草庭,400-890-0000 转 845195,4居,在售,17000元/㎡
"[请选择]相城钓鱼台路1号(盛泽湖北、环湖西路东,盛泽湖度假区)",75~550平米,"别墅,水景地产,低密居所",中赫玫瑰园,400-890-0000 转 656273,2居/3居/4居/5居,在售,23000元/㎡起
[请选择]相城阳澄湖镇湘洲路顺贤路交汇处,113~279平米,"别墅,湖景地产",燕回江南院,400-890-0000 转 832035,3居/4居/5居,在售,260万元/套起
[请选择]吴江盛泽镇西二环路(舜湖实验小学西面),112~188平米,"普通住宅,湖景地产",立新苏杭之星,400-890-0000 转 808465,3居/4居,在售,13000元/㎡起
[请选择]相城太东路与相融路交界处(地铁二号线骑河站旁),89~128平米,"普通住宅,地铁沿线,湖景地产",二号线的公园,400-890-0000 转 818029,2居/3居,在售,21000元/㎡起
[请选择]吴中金山南路与向阳河路交汇处(天平大酒店北侧),125~226平米,"大平层,品牌地产",天地源金兰尚院,400-890-0000 转 843205,3居/4居/5居,在售,23000元/㎡
[中环以外]吴江汾湖东港路与芦莘大道交汇处,89~113平米,"普通住宅, 花园洋房,品牌地产",龙光玖誉湾花园,400-890-0000 转 883751,3居/4居,在售,19129元/㎡起
[请选择]姑苏北园路158号(拙政园向北约400米),135~470平米,"别墅,水景地产",晋府水巷别墅,400-890-0000 转 819799,3居/4居,在售,32000元/㎡
[请选择]相城华元路与西环延伸段交界处(虎丘湿地公园北1000米),210平米,"普通住宅,品牌地产,宜居生态地产",招商公园1872,400-890-0000 转 834942,4居,在售,19500元/㎡起
[中环以外]吴江高新区政府北侧,98~129平米,"独栋, 普通住宅,品牌地产",碧桂园观澜天境花园,400-890-0000 转 898144,3居,在售,价格待定
[请选择]吴中东吴南路与吴中大道交汇处,99~156平米,"普通住宅,品牌地产",吴风生活广场,400-890-0000 转 884310,3居/4居,在售,25500元/㎡
吴江江陵西路1888号(仲英大道与江陵西路交汇处),146平米,"普通住宅, 花园洋房,地铁沿线,花园洋房",新湖明珠城,400-890-0000 转 1283,4居/5居,在售,价格待定往期400万元/套
[请选择]新区安杨路99号(新区永旺梦乐城对面),128~172平米,"普通住宅,品牌地产",璞玉风华苑,400-890-0000 转 874604,4居,在售,30000元/㎡起
[请选择]吴中甪直大道与甫澄北路交汇处,,普通住宅,姑苏正弘府,400-890-0000 转 840439,姑苏正弘府2019年12月底交房,在售,20000元/㎡起
[请选择]吴江盛泽市场西路与广州路交汇处(新镇政府旁),275平米,"普通住宅,宜居生态地产",碧桂园天誉,400-890-0000 转 831189,4居,在售,11000元/㎡
